ExerciseCode,Name,CDT_Class,CDT_AtHome,IsMovementDataCollected,UnitTarget,HintEasier,HintHarder,Hint1,Hint2,MDT_Class,MDT_AtHome,OldCode,Name_animationFile,Old_Name_animationFile
,,,,,,,,,,,,,,
FLX_001_L,Ankle rotation seated Left,Y,Y,N,N, -, -,Try to keep a tall body posture with your head in line with your spine.,,N,N,,FLX_001 Ankle Rotation Seated,FLX_001 Ankle Rotation Seated
FLX_001_R,Ankle rotation seated Right,Y,Y,N,N, -, -,"As far as you can, move through the full range of motion as you draw that circle with your ankle.",,N,N,,FLX_001 Ankle Rotation Seated,FLX_001 Ankle Rotation Seated
FLX_002_L,Hamstring stretch Left,N,N,N,N, -, -,Hinge at the hip joints and draw your torso muscles in towards your spine. ,It will help if you picture the back of your leg lengthening out at both ends.,N,N,,FLX_002_L_HamstringStretch,FLX_002 Hamstring Stretch
FLX_002_R,Hamstring stretch Right,N,N,N,N, -, -,"As you stretch, mentally visualize the muscle tension releasing and your leg lengthening. ",You should stretch to a point of slight discomfort but not pain.,N,N,,FLX_002_R_HamstringStretch,FLX_002 Hamstring Stretch
FLX_003_L,Calf stretch Left,N,N,N,N, -, -,"As with many Nymbl exercises, maintain an upright posture, relax your shoulders and breathe comfortably!",,N,N,,FLX_003_L_CalfStretch,FLX_003 Calf Stretch
FLX_003_R,Calf stretch Right,N,N,N,N, -, -,Try to avoid bending forward at hips or waist for this stretch. ,"If you find your left knee is significantly over the toes of the left foot, move your right foot back.",N,N,,FLX_003_R_CalfStretch,FLX_003 Calf Stretch
FLX_004_X,Heel-Toe lift,Y,Y,N,N,"hold back of chair lightly, release if you can", hold elevated foot positions for longer,"With this exercise, all the movement should be at the ankles with hips neutral and stabilized.", Do your best to avoid bending your hips or spine.,N,Y,,FLX_004_X_HeelToeLift,FLX_004 Heel Toe Lift
FLX_005_L,Foot point and flex Left,Y,Y,N,N,allow toe to tap floor,"raise knee to 90°, point & flex foot",Remember to stand up tall and move through the full range of motion at ankle and foot.,,N,N,,FLX_005_L_FootPoint&Flex,FLX_005 Foot point & flex
FLX_005_R,Foot point and flex Right,Y,Y,N,N,allow toe to tap floor,"raise knee to 90°, point & flex foot",Are your shoulders relaxed and are you breathing comfortably?,,N,N,,FLX_005_R_FootPointAndFlexRight,FLX_005 Foot point & flex
FLX_006_L,Ankle rotation clockwise Left,Y,Y,N,N, -, -,Don't forget to maintain a tall body posture with your head in line with your spine.,Try to think about relaxing your shoulders and breathing comfortably.,N,N,,FLX_006_AnkleRotationClockwise,FLX_006 Ankle Rotation Clockwise
FLX_006_R,Ankle rotation clockwise Right,Y,Y,N,N, -, -,"The idea here is that you slowly draw a big, deliberate circle with your toes, moving your ankle all the way through its range of motion.",,N,N,,FLX_006_AnkleRotationClockwise,FLX_006 Ankle Rotation Clockwise
FLX_007_L,Ankle rotation counter-clockwise Left,Y,Y,N,N, -, -,Try to make the circle as big as possible to get the maximum movement in your ankle.,,N,N,,FLX_007_AnkleRotationCounter-clockwise,FLX_007 Ankle Rotation Counter-clockwise
FLX_007_R,Ankle rotation counter-clockwise right,Y,Y,N,N, -, -,"Don't rush the movement, make that circle slowly and deliberately.",,N,N,,FLX_007_AnkleRotationCounter-clockwise,FLX_007 Ankle Rotation Counter-clockwise
FLX_008_L,Left Ankle Inversion/Eversion,Y,Y,N,N, -, -,Your leg can move a little but most of the movement should be in your ankle and foot.,"Once you've mastered the movement, stand tall and look straight ahead, not down at your feet.",N,N,,FLX_008_AnkleEversion,FLX_008_AnkleEversion
FLX_008_R,Right Ankle Inversion/Eversion,Y,Y,N,N, -, -,As you roll your ankle and foot from one side to the other your leg should not move that much.,"Once you are confident of how to do this exercise, try to look straight ahead, with torso muscles engaged.",N,N,,FLX_008_AnkleEversion,FLX_008_AnkleEversion
FLX_009_L,Left ankle circles in both directions,Y,Y,N,N, -, -,"As far as you can, move through the full range of motion as you draw that circle with your ankle.",Try to make the circle as big as possible to get the maximum movement in your ankle.,N,N,,FLX_009_AnkleRotationsClockwise&Counter-C,FLX_009_AnkleRotationsClockwise&Counter-C
FLX_009_R,Right ankle circles in both directions,Y,Y,N,N, -, -,Don't forget to maintain a tall body posture with your head in line with your spine.,"Don't rush the movement, make that circle slowly and deliberately.",N,N,,FLX_009_AnkleRotationsClockwise&Counter-C,FLX_009_AnkleRotationsClockwise&Counter-C
FLX_010_X,"Ankle Circles, Left & Right",Y,Y,N,N, -, -,,,N,N,,FLX_009_AnkleRotationsClockwise&Counter-C,
LUN_001_L,Short lunge Left,Y,Y,Y,N,wider stance,lift front heel, Remember to check that your front knee does not go over your toes.,Your feet should be hip-width apart with about two feet of space between your front and back foot.,N,N,EX_08C,LUN_001_L_ShortLungeLeft,LUN_001 Short Lunge
